"ID","Type","SKU","Title","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Backorders allowed?","Sold individually?","Size","Price","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross - sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Download 1 name","Download 1 URL","Download 2 name","Download 2 URL"
,,,"14K Gold Plated Natural Pearl Decor Drop Earrings",,,,,"Gender:Women,Quantity:2 pcs,Style:Fashionable,Details:Pearls,Color:Gold,Type:Dangle,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Eardrop Width "":"" 1.2 cm"",""Eardrop Height "":"" 2.5 cm"",""Size"":""one-size""},{""Eardrop Width "":"" 0.5 inch"",""Eardrop Height "":"" 1 inch"",""Size"":""one-size""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/10/28/1635402651ff97a5bd3d8adc100b53fff0696290dd.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/28/16354026542d9676f901288f0409aba9ced984c07a.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/28/1635402657c4f79fbc335fdbd9697489dd80fa7259.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"Minimalist Hoop Earrings",,,,,"Gender:Women,Quantity:2 pcs,Details:Texture Metal,Color:Gold,Type:Hoop,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Eardrop Width "":"" 1.6 cm"",""Eardrop Height "":"" 1.5 cm"",""Size"":""one-size""},{""Eardrop Width "":"" 0.6 inch"",""Eardrop Height "":"" 0.6 inch"",""Size"":""one-size""}]","AU$2.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/11/30/1638251845aa8757da9bdb4613b9043a1975d6da0c.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/30/1638251846731bfa9faf0ea07843b80d7b8a0e654c.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/30/16382518481c9a86d56d9bfc8b028ffa7c6f7541eb.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Rectangle Charm Necklace",,,,,"Gender:Women,Quantity:1 piece,Style:Fashionable,Details:Geometric,Type:Pendant Necklaces,Material:Copper,Color:Gold,Metals Type:K-Gold",,,,,,,,,"[{""Length "":"" 40-45 cm"",""Size"":""one-size""},{""Length "":"" 15.7-17.7 inch"",""Size"":""one-size""}]","AU$4.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/07/04/16254122657e47da004622be4d6aad98c1ad3ff2c9.jpg,https://img.ltwebstatic.com/images3_pi/2021/07/04/1625412267f2763e927eb03799dec691c7cd969226.jpg,https://img.ltwebstatic.com/images3_pi/2021/07/04/162541226817e4f45c7cc0fe7503fcb62aeb88c8c2.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Minimalist Hoop Earrings",,,,,"Gender:Women,Quantity:2 pcs,Style:Elegant,Color:Gold,Type:Hoop,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Eardrop Width "":"" 1.8 cm"",""Eardrop Height "":"" 1.9 cm"",""Size"":""one-size""},{""Eardrop Width "":"" 0.7 inch"",""Eardrop Height "":"" 0.7 inch"",""Size"":""one-size""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/05/18/1652837634e04074d95fb63cce258ddd531aa93046.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/18/1652837638e937e52e914ee1d06d8add71470ba9b9.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/18/1652837640de32a2600272736454114fe252c55299.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/18/165283764106c4ee5fd01725b60ce809909f6d47cf.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/18/16528376428c33b1fdec9a007ff86cd8f884af2c81.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Zircon Detail Bracelet",,,,,"Gender:Women,Quantity:1 piece,Style:Fashionable,Color:Gold,Material:Stainless Steel,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 6 cm"",""Size"":""one-size""},{""Diameter "":"" 2.4 inch"",""Size"":""one-size""}]","AU$4.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/09/26/16326209458e00f799c70f559d23507fd6c3c2673a.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/26/1632620946afccd2cd404d4bd25d4431c3888f3ba7.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/26/1632620947462a9556043cc3691ffb5070ea7d9c67.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Zircon Detail Shell Decor Ring",,,,,"Gender:Women,Quantity:1 piece,Style:Fashionable,Details:Shell,Color:Gold,Type:Single Ring,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 1.65 cm"",""Size"":""6""},{""Diameter "":"" 1.7 cm"",""Size"":""7""},{""Diameter "":"" 1.78 cm"",""Size"":""8""},{""Diameter "":"" 0.6 inch"",""Size"":""6""},{""Diameter "":"" 0.7 inch"",""Size"":""7""},{""Diameter "":"" 0.7 inch"",""Size"":""8""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/04/13/164982691753c8038946e473906ff91d6592cb4bf0.jpg,https://img.ltwebstatic.com/images3_pi/2022/04/13/16498269192fa5aa26257b38620df85ac4a13a1e1a.jpg,https://img.ltwebstatic.com/images3_pi/2022/04/13/1649826920a1b56d6c4a7ca9a82eb41738f013e124.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"Heart Zircon Decor Ring",,,,,"Gender:Women,Quantity:1 piece,Style:Fashionable,Details:Heart,Color:Silver,Type:Single Ring,Material:Copper,Metals Type:Zircon",,,,,,,,,"[{""Diameter "":"" 1.8 cm"",""Size"":""one-size""},{""Diameter "":"" 0.7 inch"",""Size"":""one-size""}]","AU$2.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/02/23/1645612418ef0ba7e8678864df70c8ea46bbeb2203.jpg,https://img.ltwebstatic.com/images3_pi/2022/02/23/16456124199fefe28104613c6c112d42dbf9d450c3.jpg,https://img.ltwebstatic.com/images3_pi/2022/02/23/16456124204b3e16eaacd787bca878e63d511cb4c1.jpg,https://img.ltwebstatic.com/images3_pi/2022/02/23/1645612421d3439a4b7b19d8ca613d3cdff7e56114.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"Men 18K Gold Plated Chain Necklace",,,,,"Quantity:1 piece,Style:Fashionable,Type:Chain Necklaces,Magnetic:No,Material:Copper,Color:Gold,Metals Type:K-Gold",,,,,,,,,"[{""Length "":"" 50 cm"",""Size"":""one-size""},{""Length "":"" 19.7 inch"",""Size"":""one-size""}]","AU$10.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/03/07/16466335702a220220b2bd5471222a41c9f4b6696a.jpg,https://img.ltwebstatic.com/images3_pi/2022/03/07/1646633571733ff36f9b5118f5960446bca833f175.jpg,https://img.ltwebstatic.com/images3_pi/2022/03/07/1646633573617944b64939b73493993a07b2441aef.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"MOTF PREMIUM 3PCS 14K GOLD PLATED BRACELET",,,,,"Gender:Women,Quantity:3 pcs,Color:Gold,Material:Stainless Steel,Metals Type:K-Gold",,,,,,,,,"[{""Length "":"" 19 cm"",""Diameter "":"" 6 cm"",""Size"":""one-size""},{""Length "":"" 7.5 inch"",""Diameter "":"" 2.4 inch"",""Size"":""one-size""}]","AU$10.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/09/06/163093008568b52e22974388713f004f354c8f5b6f.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/06/1630930087fd3e77d34e304523e7c5dbfb8a5f1bc9.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/06/163093008956e0459c787f9ad2d5786caa5cce8377.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/06/16309300912b079e4f01cd40c336631fad027f8a79.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"14K Gold Plated Pearl Drop Earrings",,,,,"Gender:Women,Quantity:2 pcs,Style:Fashionable,Details:Pearls,Color:Gold,Type:Dangle,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Eardrop Width "":"" 1.2 cm"",""Eardrop Height "":"" 2.6 cm"",""Size"":""one-size""},{""Eardrop Width "":"" 0.5 inch"",""Eardrop Height "":"" 1 inch"",""Size"":""one-size""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/10/14/1634207300748ae5445be402bc590581a6f8794b10.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/14/16342073020600024c7621ab5d3b7d169d6a3d83a5.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/14/163420730474f8f01dee59f87e4a21d5920dc77849.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/14/1634207306b4bd60b8a5484a176c2f05ff7fa6a618.jpg",,,,,,,,,,,,,,,,,,,,,,
